Year,Quarter,Bank_Rate_Quarterly_Avg
2011,Q1,0.7925
2011,Q2,0.8232
2011,Q3,0.8683
2011,Q4,1.0144
2012,Q1,1.0657
2012,Q2,0.9909
2012,Q3,0.7234
2012,Q4,0.529
2013,Q1,0.5097
2013,Q2,0.5064
2013,Q3,0.513
2013,Q4,0.5216
2014,Q1,0.5213
2014,Q2,0.5327
2014,Q3,0.5602
2014,Q4,0.5576
2015,Q1,0.5635
2015,Q2,0.5698
2015,Q3,0.5844
2015,Q4,0.5788
2016,Q1,0.5896
2016,Q2,0.5843
2016,Q3,0.4329
2016,Q4,0.3892
2017,Q1,0.3548
2017,Q2,0.3135
2017,Q3,0.2945
2017,Q4,0.473
2018,Q1,0.5659
2018,Q2,0.6795
2018,Q3,0.7841
2018,Q4,0.8618
2019,Q1,0.8781
2019,Q2,0.8
2019,Q3,0.7667
2019,Q4,0.7867
2020,Q1,0.6733
2020,Q2,0.39
2020,Q3,0.0767
2020,Q4,0.04
2021,Q1,0.0533
2021,Q2,0.0833
2021,Q3,0.0733
2021,Q4,0.15
2022,Q1,0.7767
2022,Q2,1.3367
2022,Q3,2.3267
2022,Q4,3.5633
2023,Q1,4.1833
2023,Q2,4.78
2023,Q3,5.5133
2023,Q4,5.3267
2024,Q1,5.2033
2024,Q2,5.1667
2024,Q3,4.9467
2024,Q4,4.69
2025,Q1,4.46
2025,Q2,4.2
2025,Q3,4.0
2025,Q4,3.885
