Year,Quarter,UK_Average_House_Price
2011,Q1,153333
2011,Q2,154667
2011,Q3,156333
2011,Q4,154333
2012,Q1,152667
2012,Q2,155667
2012,Q3,157000
2012,Q4,156000
2013,Q1,154333
2013,Q2,158000
2013,Q3,161667
2013,Q4,162667
2014,Q1,164667
2014,Q2,170667
2014,Q3,176333
2014,Q4,176667
2015,Q1,176000
2015,Q2,179667
2015,Q3,185333
2015,Q4,188000
2016,Q1,189667
2016,Q2,194000
2016,Q3,198000
2016,Q4,198000
2017,Q1,198333
2017,Q2,202667
2017,Q3,207333
2017,Q4,207333
2018,Q1,206667
2018,Q2,209000
2018,Q3,213333
2018,Q4,212333
2019,Q1,209667
2019,Q2,211333
2019,Q3,214667
2019,Q4,214333
2020,Q1,213333
2020,Q2,213667
2020,Q3,220333
2020,Q4,226333
2021,Q1,229667
2021,Q2,234333
2021,Q3,238000
2021,Q4,242667
2022,Q1,248333
2022,Q2,255000
2022,Q3,264667
2022,Q4,264667
2023,Q1,258667
2023,Q2,256500
2023,Q3,262000
2023,Q4,258000
2024,Q1,255333
2024,Q2,258333
2024,Q3,264000
2024,Q4,264333
2025,Q1,266667
2025,Q2,265333
2025,Q3,270000
2025,Q4,270000
