Year,Quarter,UK_Average_House_Price,CPI_Quarterly_Avg,t,Year_Quarter,CPI_Base,Real_House_Price
2011,1,153333,3.6,8044,2011 Q1,3.6,153333.0
2011,2,154667,3.733333333333333,8045,2011 Q2,3.6,149143.17857142858
2011,3,156333,4.066666666666666,8046,2011 Q3,3.6,138393.14754098363
2011,4,154333,4.033333333333333,8047,2011 Q4,3.6,137751.76859504133
2012,1,152667,3.1333333333333333,8048,2012 Q1,3.6,175404.63829787236
2012,2,155667,2.533333333333333,8049,2012 Q2,3.6,221211.00000000003
2012,3,157000,2.2666666666666666,8050,2012 Q3,3.6,249352.9411764706
2012,4,156000,2.4,8051,2012 Q4,3.6,234000.0
2013,1,154333,2.466666666666667,8052,2013 Q1,3.6,225242.75675675675
2013,2,158000,2.4,8053,2013 Q2,3.6,237000.0
2013,3,161667,2.433333333333333,8054,2013 Q3,3.6,239178.57534246577
2013,4,162667,1.9333333333333331,8055,2013 Q4,3.6,302897.17241379316
2014,1,164667,1.6333333333333335,8056,2014 Q1,3.6,362939.5102040816
2014,2,170667,1.6666666666666667,8057,2014 Q2,3.6,368640.72000000003
2014,3,176333,1.4666666666666668,8058,2014 Q3,3.6,432817.36363636365
2014,4,176667,1.0333333333333334,8059,2014 Q4,3.6,615485.0322580645
2015,1,176000,0.3999999999999999,8060,2015 Q1,3.6,1584000.0000000002
2015,2,179667,0.3333333333333333,8061,2015 Q2,3.6,1940403.6
2015,3,185333,0.3666666666666667,8062,2015 Q3,3.6,1819633.0909090908
2015,4,188000,0.3666666666666667,8063,2015 Q4,3.6,1845818.1818181819
2016,1,189667,0.6666666666666666,8064,2016 Q1,3.6,1024201.8
2016,2,194000,0.7333333333333334,8065,2016 Q2,3.6,952363.6363636364
2016,3,198000,1.0666666666666669,8066,2016 Q3,3.6,668249.9999999999
2016,4,198000,1.5333333333333332,8067,2016 Q4,3.6,464869.56521739135
2017,1,198333,2.1666666666666665,8068,2017 Q1,3.6,329537.9076923077
2017,2,202667,2.6333333333333333,8069,2017 Q2,3.6,277063.746835443
2017,3,207333,2.6999999999999997,8070,2017 Q3,3.6,276444.00000000006
2017,4,207333,2.766666666666667,8071,2017 Q4,3.6,269782.69879518065
2018,1,206667,2.5,8072,2018 Q1,3.6,297600.48
2018,2,209000,2.2666666666666666,8073,2018 Q2,3.6,331941.17647058825
2018,3,213333,2.3000000000000003,8074,2018 Q3,3.6,333912.5217391304
2018,4,212333,2.1333333333333333,8075,2018 Q4,3.6,358311.9375
2019,1,209667,1.8,8076,2019 Q1,3.6,419334.0
2019,2,211333,1.9333333333333331,8077,2019 Q2,3.6,393516.6206896552
2019,3,214667,1.8,8078,2019 Q3,3.6,429334.0
2019,4,214333,1.4666666666666668,8079,2019 Q4,3.6,526090.0909090909
2020,1,213333,1.6666666666666667,8080,2020 Q1,3.6,460799.28
2020,2,213667,0.7999999999999999,8081,2020 Q2,3.6,961501.5000000002
2020,3,220333,0.7666666666666666,8082,2020 Q3,3.6,1034607.1304347827
2020,4,226333,0.7666666666666666,8083,2020 Q4,3.6,1062781.043478261
2021,1,229667,0.8666666666666667,8084,2021 Q1,3.6,954001.3846153847
2021,2,234333,2.033333333333333,8085,2021 Q2,3.6,414884.65573770495
2021,3,238000,2.6666666666666665,8086,2021 Q3,3.6,321300.0
2021,4,242667,4.3999999999999995,8087,2021 Q4,3.6,198545.72727272732
2022,1,248333,5.533333333333334,8088,2022 Q1,3.6,161566.04819277106
2022,2,255000,7.966666666666666,8089,2022 Q2,3.6,115230.12552301257
2022,3,264667,8.733333333333334,8090,2022 Q3,3.6,109099.37404580152
2022,4,264667,9.366666666666667,8091,2022 Q4,3.6,101722.54804270463
2023,1,258667,8.966666666666667,8092,2023 Q1,3.6,103851.43494423792
2023,2,256500,7.666666666666667,8093,2023 Q2,3.6,120443.47826086957
2023,3,262000,6.333333333333333,8094,2023 Q3,3.6,148926.31578947368
2023,4,258000,4.366666666666667,8095,2023 Q4,3.6,212702.29007633586
2024,1,255333,3.9333333333333336,8096,2024 Q1,3.6,233694.61016949153
2024,2,258333,2.8666666666666667,8097,2024 Q2,3.6,324418.18604651163
2024,3,264000,2.9333333333333336,8098,2024 Q3,3.6,324000.0
2024,4,264333,3.4,8099,2024 Q4,3.6,279882.0
2025,1,266667,3.6666666666666665,8100,2025 Q1,3.6,261818.50909090912
2025,2,265333,4.066666666666666,8101,2025 Q2,3.6,234884.95081967214
2025,3,270000,4.133333333333333,8102,2025 Q3,3.6,235161.29032258067
2025,4,270000,3.65,8103,2025 Q4,3.6,266301.36986301374
